laser_score,source,target
1.1394761,Translate this sentence from eng to deu: They also reveal new ways of thinking about work that are motivated by the market disruptions of the past several years.,"Sie enthüllen auch neue Denkweisen über Arbeit, die durch die Marktstörungen der letzten Jahre motiviert sind."
1.1421537,Translate this sentence from eng to deu: The Movie »is a story about the everyday life of one of the most unknown countries on the European continent.,The Movie“ ist eine Geschichte über den Alltag des unbekanntesten Landes des europäischen Kontinents.
1.141953,Translate this sentence from eng to deu: No mention of the Thonburi Station closure in the Thai press?,Erwähnung der Schließung der Station Thonburi in der thailändischen Presse?
1.1501572,Translate this sentence from eng to deu: They rejected the truth and became slaves to the lie.,Sie haben die Lüge zur Wahrheit gemacht und sich selbst belogen.
1.1597822,"Translate this sentence from eng to deu: (A Palestinian once told me: “Give me a tank or a fighter plane, and I shall give up terrorism immediately.”)","(Ein Palästinenser sagte einmal zu mir: ""Gib mir einen Panzer oder ein Kampfflugzeug, und ich werde den Terrorismus sofort aufgeben."")"
1.1392571,Translate this sentence from eng to deu: That's one of our main demands for Europe and the international community.,Das ist eine unserer Hauptforderungen an Europa und an die internationale Staatengemeinschaft.
1.1327319,Translate this sentence from eng to deu: Similarity # 2 - stored images are visualised through successive slow (bio)chemical and physical processes.,Ähnlichkeit Nr. 2 - gespeicherten Bilder werden durch aufeinanderfolgende langsam (bio) chemische und physikalische Prozesse visualisiert.
1.1634116,Translate this sentence from eng to deu: Only for the last step out of the arrival area we got a short introduction into the African mentality.,Nur für den letzten Schritt aus dem Ankunftsbereich haben wir eine Kurzeinführung in die afrikanische Mentalität bekommen.
1.1332246,"Translate this sentence from eng to deu: The French had made certain demands under threat of war, and Wilhelm had refused them.",Die Franzosen hatten Forderungen unter Androhung von Krieg gestellt und Wilhelm hatte sie abgelehnt.
1.1337473,"Translate this sentence from eng to deu: Groups of states with specific representative requirements, such as the Arab group and Small Island and Development States (SIDS) would be encouraged to see cross-grouping arrangements to ensure appropriate representation in a reformed Council.","Gruppen von Staaten mit besonderen Repräsentationsbedürfnissen, etwa die Arabische Gruppe oder die Kleinen Insel-Entwicklungsländer (Small Island and Development States, SIDS), würden ermutigt, gruppenübergreifende Arrangements zu treffen, um eine angemessene Repräsentation im reformierten Rat sicherzustellen."
1.1478842,Translate this sentence from eng to deu: It exists largely outside of the boundaries of governments.,Es existiert größtenteils außerhalb der Grenzen von Regierungen.
1.1375166,"Translate this sentence from eng to deu: This brought positive results, especially as compared to the 1930s.","Sie brachte positive Ergebnisse, besonders verglichen mit den 1930er-Jahren."
1.1536843,Translate this sentence from eng to deu: And they will lie and make wild accusations.,"Sie lassen sich anlügen, demütigen,"
1.1349955,"Translate this sentence from eng to deu: If this proved unsuccessful, it would hardly be feasible in view of the German mountain of debt, to confirm any form of reserves formation for the taxpayers (in Germany, and in the EU).","Gelänge dies nicht, wäre es aufgrund des deutschen Schuldenbergs kaum realisierbar, eine Form der Rücklagenbildung für die Steuerzahler (in Deutschland, und in der EU) nachzuweisen."
1.1360991,"Translate this sentence from eng to deu: This is full with clubs and bars, where thousands of young tourists party every night.","Dies ist voll mit Clubs und Bars, wo Tausende von jungen Touristen jede Nacht feiern."
1.1449313,Translate this sentence from eng to deu: The girl didn’t get far before she was picked up by someone who lived nearby.,"Das Mädchen kam nicht weit, bis sie von jemandem abgeholt wurde, der in der Nähe wohnte."
1.1628025,Translate this sentence from eng to deu: And thanking them for it.,Und noch dafür dankbar sind.
1.1314192,Translate this sentence from eng to deu: But there is also the prospect of discovering magnetic behaviours that has not been seen yet in natural materials.,"Es besteht aber auch die Aussicht darauf, magnetische Zustände zu entdecken, die bisher noch nicht in natürlichen Materialien gesehen wurden."
1.1420884,Translate this sentence from eng to deu: other machines are coming to kill us.,"andere Maschinen kommen, um uns zu töten."
1.1326462,"Translate this sentence from eng to deu: Without daring to physically, they get to meet some interesting people online.","Ohne sich körperlich zu wagen, treffen sie einige interessante leute online."
1.1365503,"Translate this sentence from eng to deu: If he is remembered at all today, it is more for his social thinking, which was progressive, than for his language and literary style.","Wenn er überhaupt heute erinnert, ist es für sein soziales Denken, das progressive war, als für seine Sprache und literarischen Stil."
1.1346216,"Translate this sentence from eng to deu: The sun will come up tomorrow, and the next day, and the next day, and soon you will not understand how you have survived the whole thing.","Die Sonne wird morgen aufgehen, und am nächsten Tag, und am nächsten Tag, und bald wirst du nicht mehr verstehen, wie du das Ganze überlebt hast."
1.1349618,Translate this sentence from eng to deu: Two Candidates from the People for the People,Zwei Kandidaten aus dem Volk für das Volk
1.1518905,"Translate this sentence from eng to deu: In every state except California, you also have the option to play “Power Play”.","In jedem Bundesstaat außer Kalifornien haben Sie auch die Möglichkeit, ""Power Play"" zu spielen."
1.1446105,"Translate this sentence from eng to deu: - How the ""oh-shit"" position can rescue you and your horse from difficult situations",- Wie die „Oh Shit“-Position dich und dein Pferd aus schwierigen Situationen retten kann
1.1414998,"Translate this sentence from eng to deu: Barring that situation, it’s tough to see why you wouldn’t at least try a month or two of the service.","Abgesehen von dieser Situation, ist es schwer zu sehen, warum Sie nicht mindestens einen Monat oder zwei des Dienstes versuchen würden."
1.1406701,Translate this sentence from eng to deu: I always believed that Ted would be totally healed and had extreme difficulties to accept his death.,"Ich war immer der Überzeugung gewesen, dass Ted komplett geheilt werden würde, und ich hatte daher extreme Schwierigkeiten, seinen Tod zu akzeptieren."
1.1669931,Translate this sentence from eng to deu: There are also things you can do on Monday to help yourself.,"Es gibt auch Dinge, die Sie am Montag tun können, um sich selbst zu helfen."
1.139449,Translate this sentence from eng to deu: “Unification is the only way Koreans can survive.”,"«Die Vereinigung ist der einzige Weg, wie die Koreaner überleben können.»"
1.1544265,Translate this sentence from eng to deu: Love Minus Zero/No Limit by Bob Dylan,Love Minus Zero/No Limit von Bob Dylan
1.1352708,"Translate this sentence from eng to deu: If you already have contacts with foreign distributors, explain that you have foreign representatives for overseas sales.","Wenn Sie bereits Kontakte mit ausländischen Händlern haben, erklären Sie, dass Sie ausländische Repräsentanten für Auslandsverkäufe haben."
1.1364468,Translate this sentence from eng to deu: It doesn't take a lot of luteolin to make a difference.,"Es braucht nicht viel Luteolin, um einen Unterschied zu machen."
1.1321713,Translate this sentence from eng to deu: The EU should use this British no-confidence vote as an opportunity to change its migration rules fundamentally.,"Die EU sollte das britisches Misstrauensvotum zum Anlass nehmen, ihre Migrationsregeln grundlegend zu ändern."
1.1352448,Translate this sentence from eng to deu: The good news is that thousands of animal lovers (but not enough) have heard what we�ve been saying.,"Die gute Nachricht ist, dass Tausende von Tierfreunden (wenn auch nicht genug) inzwischen auf uns hören."
1.1445199,"Translate this sentence from eng to deu: We love WordPress, we love Open Source, and above all we love to build great things for our customers.","Wir lieben WordPress, wir lieben Open Source, und vor allem lieben wir es, großartige Dinge für unsere Kunden zu bauen."
1.1314685,Translate this sentence from eng to deu: Today we launch the beta of our new application “O&O Syspectr”.,Heute startet die Beta von unserer neuen Anwendung „O&O Syspectr“.
1.1431142,Translate this sentence from eng to deu: The takhat is a continuous principle when it is about accidents or damages in biblical jurisprudence.,"Das tachat ist ein durchgehendes Prinzip, wenn es um Unfälle oder Schädigungen geht in der biblischen Rechtsprechung."
1.1459508,"Translate this sentence from eng to deu: ""300 days of sunshine a year ensure that the property market will recover in one to two years back, and thus prices will rise again.","""300 Sonnentage im Jahr sorgen dafür, dass sich der Immobilienmarkt in ein bis zwei Jahren wieder erholen wird und dadurch die Preise erneut steigen werden."
1.1324446,"Translate this sentence from eng to deu: As the “female ginseng,” dong quai is popular for many women who have:","Als ""weiblicher Ginseng"" ist dong quai bei vielen Frauen beliebt, die:"
1.1443926,Translate this sentence from eng to deu: Many prostitutes are wage labourers: they are employed by an individual or business and required to work certain hours.,Viele Prostituierte sind Lohnarbeiterinnen: Sie werden von einem Individuum oder Unternehmen beschäftigt und müssen bestimmte Stunden arbeiten.
1.1616565,"Translate this sentence from eng to deu: “We have already been decoupled before, from Montenegro in 2011 and Serbia in 2013, as both of them started accession talks, which is great, while we had to wait despite a positive recommendation.”","„Wir wurden bereits zuvor entkoppelt, von Montenegro im Jahr 2011 und Serbien im Jahr 2013, da beide Länder Beitrittsverhandlungen aufgenommen haben, was großartig ist, während wir trotz einer positiven Bewertung immer noch warten mussten.“"
1.1414227,"Translate this sentence from eng to deu: Yes, it was a large, house-like tomb!","Ja, es war ein großes, hausähnliches Grab!"
1.1343096,"Translate this sentence from eng to deu: One of the amazing feats of the market economy is that it makes needs invisible and replaces them with the notion of ""value"".","Eine der erstaunlichsten Effekte der Marktökonomie ist es, dass sie Bedürfnisse unsichtbar macht und sie durch das Konzept von „Wert“ ersetzt."
1.1521866,"Translate this sentence from eng to deu: In addition, new investors often open up unprofitable positions quickly.",Darüber hinaus werden neue Investoren oft schnell unrentabel Positionen öffnen.
1.1416034,"Translate this sentence from eng to deu: If they lose a loved one, it’s like your own mother or father died.","Wenn sie einen geliebten Menschen verlieren, ist es, als wäre deine eigene Mutter oder dein eigener Vater gestorben."
1.1562511,"Translate this sentence from eng to deu: Tony and I ate many similar meals at that table, but this one can stand in for the rest.","Tony und ich nahmen an diesem Tisch viele ähnliche Mahlzeiten ein, aber diese kann für alle anderen stehen."
1.1363779,Translate this sentence from eng to deu: Mikhail Gorbachev thinks that reducing the global population by 90 percent would be just about right:,"Michail Gorbatschow ist der Meinung, dass eine Reduzierung der Weltbevölkerung um 90 Prozent genau das Richtige wäre:"
1.1412553,"Translate this sentence from eng to deu: Make a list of not only your multiple sclerosis symptoms and disease history, but also any questions or concerns you may have.","Erstellen Sie eine Liste nicht nur Ihrer Multiplen Sklerose Symptome und Krankheitsgeschichte, aber auch Fragen oder Bedenken, die Sie haben können."
1.1457902,Translate this sentence from eng to deu: But today’s urban centers are economically stronger and politically bolder.,Aber die heutigen urbanen Zentren sind wirtschaftlich stärker und politisch mutiger.
1.1501734,Translate this sentence from eng to deu: Earlier studies said that the 67P could not get its dual structure 4.5 billion years ago.,"Frühere Studien besagten, dass der 67P vor 4,5 Milliarden Jahren seine duale Struktur nicht erreichen konnte."
1.1390234,"Translate this sentence from eng to deu: One merely has to view what they have done, where they are, and their inability to have one voice.","Man muss sich nur ansehen, was sie getan haben, wo sie sind und ihre Unfähigkeit eine Stimme zu haben."
1.1367161,"Translate this sentence from eng to deu: Thanks, everyone who shared feedback about this – please take a moment to try it out in today’s build and let us know how it goes.","Danke, alle, die Feedback dazu gegeben haben - bitte nimm dir einen Moment Zeit, um es im heutigen Build auszuprobieren und lass uns wissen, wie es läuft."
1.1318904,"Translate this sentence from eng to deu: So whether the concept of your own daycare works is not a question, at least when it comes to the clientele.","Ob das Konzept der eigenen Kindertagesstätte funktioniert ist also keine Frage, zumindest wenn es um die Kundschaft geht."
1.1423347,"Translate this sentence from eng to deu: Little is known about how many men, women and children actually have lost their lives on their journey to Europe.","Wenig ist drüber bekannt, wie viele Männer, Frauen und Kinder tatsächlich auf ihrer Reise nach Europa ihr Leben verloren haben."
1.1539884,"Translate this sentence from eng to deu: We believe that the ""social question,"" if it develops further, will split first of all into two great questions: the question of capital and the question of organization.","Wir glauben, daß die „soziale Frage“, wenn sie sich weiter entwickelt, zunächst in zwei große Fragen zerfallen wird: die Kapitalfrage und die Organisationsfrage."
1.1336604,"Translate this sentence from eng to deu: It does not mean “a new world order,” as has been alleged, which is just one more reason to lament that high schools don’t teach Latin classes anymore.","Es tut nicht bedeutet ""eine neue Weltordnung"", wie behauptet worden, die mehr Grund zu jammern nur eine ist, dass hohe Schulen mehr nicht Latein Klassen unterrichten."
1.1375573,"Translate this sentence from eng to deu: The city is excited, the first ever concert here.","Die Stadt ist aufgeregt, das erste Konzert hier überhaupt."
1.1361042,Translate this sentence from eng to deu: Supporting compliance by SMEs: There are concerns about the vulnerability of SMEs.,Förderung der Rechtseinhaltung durch die KMU: Es bestehen Bedenken hinsichtlich der Anfälligkeit von KMU.
1.1592382,Translate this sentence from eng to deu: The innovative logistics solution was selected in a direct comparison with over 430 submitted innovations from 33 countries.,Die innovative Logistiklösung wurde im Rahmen eines direkten Vergleichs mit über 430 eingereichten Innovationen aus 33 Ländern ausgewählt.
1.1464558,Translate this sentence from eng to deu: You were a tremendous help today with my problem of ACCIDENTALLY DELETED DIGITAL PICTURES FROM A WEDDING.,Sie waren eine große Hilfe heute mit meinem Problem der digitalen versehentlich gelöschte Bilder von einer Hochzeit.
1.1348146,"Translate this sentence from eng to deu: As part of the project, a network comprising 17 civil society organizations was formed to monitor discrimination in education.","Im Rahmen der Untersuchung wurde ein Netzwerk aus 17 zivilgesellschaftlichen Organisationen ins Leben gerufen, um Diskriminierungen im Bildungsbereich zu überwachen."
1.1336677,Translate this sentence from eng to deu: The Chicago teachers’ struggle is a decisive battle to defend public education.,Der Kampf der Chicagoer Lehrer ist ein entscheidender Kampf zur Verteidigung der öffentlichen Bildung.
1.1423903,Translate this sentence from eng to deu: 104.}My life as a person would be totally shy if I did not meet a friend like you; you are probably the best thing that has happened to me as a person.,"Mein Leben als Mensch wäre völlig scheiße, wenn ich keinen Freund wie dich getroffen hätte; Du bist wahrscheinlich das Beste, was mir als Mensch jemals passiert ist."
1.1341487,"Translate this sentence from eng to deu: In writing for 4 or 6 voices it must not be too polytonal or polymelodic, or polyrhythmical.",Schreiben für 4 oder 6 Stimmen darf nicht zu polytonal oder polymelodisch oder polyrhythmisch sein.
1.1335058,Translate this sentence from eng to deu: The wrongly stamped numbers were deleted (“false numbers obliterated”) and the replica was resold.,Die fälschlich eingestanzten Nummern wurden gelöscht (“false numbers obliterated”) und die Replika weiterverkauft.
1.143842,Translate this sentence from eng to deu: When we traced back the lines it always came from the United States and that was when a guy named Henry Kissinger was the Secretary of State.,"Als wir die Linien zurückverfolgten, kam es immer aus den Vereinigten Staaten und das war, als ein Kerl namens Henry Kissinger Außenminister war."
1.132565,Translate this sentence from eng to deu: We recognise that certain aspects of trade in services are intrinsically linked to the single market and therefore our market access in these areas will need to be different.,"•Wir erkennen, dass bestimmte Aspekte des Dienstleistungsverkehr untrennbar mit dem Binnenmarkt verbunden sind und daher unser Marktzugang in diesen Bereichen anders sein müssen wird."
1.147403,"Translate this sentence from eng to deu: Though, there are times that it can be seen that Kyon cared for Haruhi.","Obwohl, es gibt Zeiten, dass es gesehen werden kann, dass Kyon sorgte für Haruhi."
1.1495558,Translate this sentence from eng to deu: GEET stands for Global Environmental Energy Technology.,GEET steht für Global Environmental Energy Technology.
1.1364579,Translate this sentence from eng to deu: I will never work as a technical writer again.,Ich werde nie wieder als technischer autor arbeiten.
1.1374078,Translate this sentence from eng to deu: In such cases it usually helps to use another server outside Europe (e.g. Montreal or Hong Kong).,"Abhilfe schafft normalerweise, einen anderen Server außerhalb Europas (zum Beispiel Montreal oder Hongkong) zu nutzen."
1.1554816,Translate this sentence from eng to deu: I would like to join with Parliament in condemning the government in Kiev for its failure in this sensitive matter.,Außerdem möchte ich mich dem Parlament anschließen und die Regierung in Kiew für deren Versagen in dieser heiklen Angelegenheit verurteilen.
