,source,source_delfy,target,target_delfy
71,Translate this sentence from eng to afr: All the codes of the traditional holiday decoration are there.,5.958942343053206e-06,Al die kodes vir tradisionele vakansiedekore is daar.,1.3861842641156946e-05
72,Translate this sentence from eng to afr: Take a look at this section to start.,3.621522942719031e-06,Kyk na hierdie pos om te begin.,1.5558969537335018e-05
73,"Translate this sentence from eng to afr: Nearly ""all weather events are affected by climate change because the environment in which they occur is warmer and moister than it used to be.""",4.438054495017484e-06,"Inderdaad, alle weersomstandighede word beïnvloed deur klimaatsverandering omdat die omgewing waarin hulle voorkom is warmer en moer as wat dit vroeër was.",3.895146516707382e-06
74,"Translate this sentence from eng to afr: Oh my god, she's so hawt!",2.9764375156362253e-06,"God damn, we're so hawt!",1.8399215606897588e-05
75,"Translate this sentence from eng to afr: According to a 2013 Gallup Poll, 40% of Americans get less than the recommended amount of sleep.",2.72254513673454e-06,'N 2013 Gallup poll het gevind dat 40% van Amerikaanse volwassenes word minder as die aanbevole hoeveelheid slaap.,8.799473755442269e-06
76,Translate this sentence from eng to afr: begin to flourish.,1.9917033674999532e-05,Begin bloei.,1.0584056017679763e-05
77,Translate this sentence from eng to afr: Tequila production is very regulated and it is the little details that make the difference in one tequila's production versus another.,3.833092291560361e-06,Tequila produksie is baie gereguleer en dit is die klein besonderhede wat die verskil in een tequila se produksie teenoor die ander maak.,2.137157446556893e-05
78,"Translate this sentence from eng to afr: Thousands of miles of ice, and nobody.",1.2610239084470217e-05,Die rustigheid van kilometers van niks en niemand.,8.853496674343781e-06
79,Translate this sentence from eng to afr: Dark red orchids drive away laziness and apathy.,9.271551745847857e-06,Donkerrooi orgideë verdwyn luiheid en apatie.,2.17946038792208e-05
80,Translate this sentence from eng to afr: The big concern is my mom.,7.87284956502511e-06,My grootste bekommernis is my ma.,9.590149049264823e-06
81,"Translate this sentence from eng to afr: As an example, these browsers will be configured for the ultimate in speed and accessibility.",8.794209927520311e-06,"As voorbeeld, sal hierdie blaaiers gekonfigureer word vir die beste snelheid en toeganklikheid.",1.5597293555344902e-05
82,"Translate this sentence from eng to afr: ""I've known him since 1974.",5.222355834021038e-06,Ek ken hom vanaf 1974.,1.9652990737194037e-06
83,"Translate this sentence from eng to afr: Margaret Fuller, journalist and activist, once said, ""Today a reader, tomorrow a leader.""",1.0584053987862197e-05,"In die woorde van Margaret Fuller, ""Today a reader, tomorrow a leader.""",1.3422958838458934e-05
84,Translate this sentence from eng to afr: He is also a poet translator and essayist.,8.832843594870867e-06,is ook vertaler en essayist.,1.4521704901490596e-05
85,"Translate this sentence from eng to afr: The Steam Engine, Thomas Savery was an English military engineer and inventor who in 1698, patented the first crude steam engine.",1.0108126688067659e-05,Thomas Savery was 'n Engelse militêre ingenieur en uitvinder wat in 1698 die eerste ruwe stoom-enjin gepatenteer het.,1.5722053582233237e-05
86,Translate this sentence from eng to afr: Automated installation of plugins and pre-made websites.,1.5821927246906437e-05,Outomatiese installasie van plugins en voorafgemaakte webwerwe.,1.5607306309244795e-05
87,Translate this sentence from eng to afr: Some of them completely miss the purpose to which Christ has called and equipped them because they do not have a clear consciousness of their final destination.,1.4160791519864969e-06,"Sommige van hulle mis heeltemal die doel waarvoor Christus hulle as sy dissipels geroep en toegerus het, omdat hulle nie  n goed omlynde bewussyn van hulle bestemming het nie.",9.478586114042566e-06
88,Translate this sentence from eng to afr: A process that continues until today.,1.1245581961215786e-05,'N Proses wat tot vandag toe voortduur.,3.0240189491806385e-06
89,Translate this sentence from eng to afr: He is interested in the children and what they are doing.,9.480087577351992e-06,Hy het intens belanggestel in kinders en in dit wat hulle doen.,9.076082240703362e-06
90,"Translate this sentence from eng to afr: If you do not find the answers you are looking for,",4.280561067404591e-06,uh ... as jy nie kry die antwoorde wat jy soek,1.4522644454554435e-05
91,Translate this sentence from eng to afr: The Chronicles of Narnia..,7.0045094445076975e-06,Kronieke van Narnia. --.,2.4202841502484326e-05
92,Translate this sentence from eng to afr: The Best is Yet to Be: Bon's Book Club: Wonder,3.3565894733131007e-06,Bon's Book Club: Wonder,1.0125308311467142e-05
93,"Translate this sentence from eng to afr: of Paradise, CA.",9.769570252096346e-06,"keer Paradise, CA",2.2455796506037234e-05
94,"Translate this sentence from eng to afr: ""The beauty of fragrance is that it speaks to your heart...and hopefully, someone else's."" - Elizabeth Taylor",7.704680959460817e-06,"'Parfuum praat met jou hart...en hopelik met iemand anders'- Elizabeth Taylor, Hollywood-ster.",1.3481528907559746e-05
95,"Translate this sentence from eng to afr: As soon as you get connected with an agent, you have access to their full name and picture.",4.897303972729566e-06,"Sodra u met 'n agent kontak maak, het u toegang tot hul volle naam en foto.",4.869075866173244e-06
96,Translate this sentence from eng to afr: Q. What are we going to sell?,4.034713561507104e-06,Q: wat u verkopen?,1.7237275490613884e-05
97,Translate this sentence from eng to afr: He made water flow for them from the rock.,3.322605693560637e-06,Hy het vir hulle water uit die rots laat vloei.,9.384515660299124e-06
98,"Translate this sentence from eng to afr: I never enjoyed history, except for his class.",6.1238440507381825e-06,Ek praat nooit tydens die klas behalwe vir haar nie.,6.547831066454312e-06
99,"Translate this sentence from eng to afr: So go ahead, and make up a family of snowmen for the winter months!",1.9336241568360664e-06,Bly fiks as 'n familie en klop die winterkieme!,8.670108096451925e-06
100,Translate this sentence from eng to afr: An interesting part of getting the service is that you have to download a separate app to buy it.,6.148146509896455e-06,'N Interessante deel van die verkryging van die diens is dat u 'n aparte app moet aflaai om dit te koop.,2.019879681065212e-05
101,Translate this sentence from eng to afr: tool and I am surprised it hasn't become commercial yet.,3.991313137456492e-06,"hom, en dit verbaas ons dat hy nog nie gehaak is nie.",1.2623030642379177e-05
102,"Translate this sentence from eng to afr: ""If I was living in Europe or America, they would have given me citizenship on a platter.",2.6007604203887243e-06,"""As ek in Europa of Amerika was, was ek nou skatryk.",5.711626968705752e-06
103,Translate this sentence from eng to afr: Kauai is Hawaii's Largest Coffee Grower.,8.8924980369207e-06,Kauai is die vierde grootste Hawaii.,1.2146415385784007e-05
104,Translate this sentence from eng to afr: The bells and chimes so near,9.299710692718405e-06,mure en klip so sterk,9.226151497161837e-06
105,"Translate this sentence from eng to afr: To horror fans though, Goldblum will likely always be best remembered for his lead role in David Cronenberg's amazing 1986 remake of The Fly.",5.342694493080274e-06,Vir horror-aanhangers sal Goldblum waarskynlik altyd die beste onthou word vir sy hoofrol in David Cronenberg se wonderlike weergawe van 1986 van Die vlieg.,1.2258070859210072e-05
106,"Translate this sentence from eng to afr: One young man questioned, ""Why should I have to eat vegetables?",4.3942807355378055e-06,"My antwoord aan haar was: ""Hoekom moet ek blare eet?",1.4739743903529358e-06
107,"Translate this sentence from eng to afr: Optimum fit line 0.3-0.4 mm, which is attached to a small sinker and a single hook.",5.735610175808683e-06,"Ideale vislyn 0,3-0,4 mm, op wat gemonteer is 'n klein sinker en enkele haak.",1.3128839049337105e-05
108,Translate this sentence from eng to afr: & picks up 8.,4.731896319130747e-06,& Verhogings 8.,1.8152131135513586e-05
109,"Translate this sentence from eng to afr: ""MY beloved son, do you know you never have anything to fear, for I have given you the strength of a Samson.""",1.92665394943402e-06,"Geliefde Seun, weet jy jy het niks om ooit te vrees nie, want EK het jou die krag van  n Simson gegee.",6.498153878555936e-06
110,Translate this sentence from eng to afr: Children will be convicted of their rebellion and be restored in love to their parents.,8.028855831823002e-06,Kinders sal oortuig word van hulle rebellie en tot liefde vir hulle ouers herstel word.,5.104795277468034e-06
111,"Translate this sentence from eng to afr: First you need to choose a place for construction, next to which there is a lake, river or pond.",8.556239294108565e-06,"Eerstens moet u 'n plek kies vir konstruksie, waarna daar 'n meer, rivier of dam is.",3.0399878341965928e-06
112,"Translate this sentence from eng to afr: Hey, you forgot to mention how cold it was.",2.3462619723512828e-06,Ongelukkig het jy vergeet om te noem hoe vrolik dit is.,1.2716142453258015e-05
113,"Translate this sentence from eng to afr: Also, Bulgarian pepper for the first complementary foods can be combined with yoghurt, vegetables, cereals, meat and even fruits.",7.131693034083505e-06,"Peper vir die eerste voeding kan ook gekombineer word met jogurt, groente, graan, vleis en selfs vrugte.",7.3597713947934975e-06
114,Translate this sentence from eng to afr: Give them a few examples of things you've done recently that prove that you are trustworthy and dependable.,3.3470756155286047e-06,Gee hulle voorbeelde van wat jy onlangs gedoen het wat bewys dat jy betroubaar is.,1.7128615084471887e-05
115,"Translate this sentence from eng to afr: It states, among other things, ""the people will admit of no equality of persons of colour with the White inhabitants, either in state or in church.""",2.128916116926219e-06,"Dit bepaal onder meer dat ""die volk geen gelykheid van gekleurdes met die blanke inwoners op staats- of kerkgebied sal toelaat nie.""",7.818243177756457e-06
116,"Translate this sentence from eng to afr: This ego can also try to make our spiritual journey into a me, me, me journey, and when we then start to use the Law of Attraction, it will do so in order to get 'more', instead of using the Law of Attraction in order to give more.",1.645648591214473e-06,"Hierdie ego kan ook probeer om ons geestelike reis in 'n ek, ek, ek reis, en wanneer ons dan die Wet van Aantrekkingskrag begin gebruik, sal dit dit doen om 'meer' te kry, in plaas daarvan om die Wet van Aantrekking te gebruik om meer te gee.",1.971879785449134e-05
117,"Translate this sentence from eng to afr: Before the discussion, the specific compatibility of Goldfish with other fish.",7.284275716610539e-06,"Voor die bespreking, die spesifieke verenigbaarheid van Goudvis met ander vis.",1.1842177343397032e-05
118,Translate this sentence from eng to afr: You'll join one of three teams and battle for the prestige and ownership of GYMS with your Pokemon at your side.,7.1907501613782965e-06,Jy sal saam met een van drie spanne en stryd om die prestige en eienaarskap van Gimnasiums met jou Pokémon aan jou kant.,7.272323985520612e-06
119,Translate this sentence from eng to afr: I'm looking after her for a week.,3.184676327183776e-08,Ek wag nou vir 'n week op haar.,2.0951987903909314e-07
120,Translate this sentence from eng to afr: How to Teach English As a Foreign Language and Travel the World,6.1407209672233455e-06,Hoe om Engels as 'n vreemde taal te onderrig en die wêreld te reis,1.6701787528754904e-05
121,Translate this sentence from eng to afr: And a clue while you're at it.,5.017185383327568e-06,En ketting wanneer je.,2.4566604706293007e-06
122,Translate this sentence from eng to afr: David Beckham because he is an absolute legend.,1.1168108355986534e-05,"Hugh Jackman, hy is ń absoluut legend.",1.858519972779515e-05
123,Translate this sentence from eng to afr: 24 and 32 are not available...,2.03880297228767e-05,Nr 31 en 32 staan verkeerd om...,3.37026404067689e-06
124,Translate this sentence from eng to afr: Do You Hear What I Hear Andy Williams,6.861947267095567e-06,ouvir My Coloring Book Andy Williams,1.316676064649028e-05
125,"Translate this sentence from eng to afr: And if you are, what is the evidence?",1.1596083417065094e-05,"Indien dit wel so is, wat is dan u beweegredes?",4.100567356077084e-06
126,"Translate this sentence from eng to afr: Searching for ""covering them""",1.05067641667641e-05,Search 'Petet Van Hulle',9.505774063102674e-06
127,"Translate this sentence from eng to afr: Kefir, Kombucha, and More!",7.0045094445076975e-06,"Kefir, kombucha en meer",1.8152131126863245e-05
128,Translate this sentence from eng to afr: I find it hard to go past 1.,4.301114880432191e-06,ek vind dit moeilik om 1 uit te sonder.,4.665103851465081e-06
129,Translate this sentence from eng to afr: If you have bought any web hosting package it is usually very likely that the email hosting service is integrated into your web hosting package.,1.2636158911093092e-06,"As u 'n web hosting pakket gekoop het, is dit gewoonlik baie waarskynlik dat die e-posdiens diens in u web hosting pakket geïntegreer word.",1.4085896176431773e-05
130,Translate this sentence from eng to afr: You can hear a car now and then.,2.238807612337933e-06,Dis net dat jy so af en toe 'n voertuig hoor.,3.4085378391312425e-06
131,Translate this sentence from eng to afr: 2peas now carries it.,7.0045094445076975e-06,20-span aangevoer het.,1.5376919161111725e-05
132,"Translate this sentence from eng to afr: And they're dealing with what they call ""the Jesus issue.""",3.133962155363756e-06,"En hulle hanteer wat hulle noem ""die Jesus kwessie.""",2.2565216940616314e-05
133,"Translate this sentence from eng to afr: ""I can't stand German songs anymore.""",7.641628162414367e-07,Ek kan nie meer Duitse liedere verdra nie,1.0608427830377808e-05
134,Translate this sentence from eng to afr: But account for around 70 of the trading volume.,1.3973628533310076e-05,Vereis 70 keer handel volume.,6.03215609534561e-08
135,Translate this sentence from eng to afr: Fortunately it is the fruiting season.,7.972417964408029e-06,Gelukkig is het fruitdag.,9.076065563671355e-06
136,Translate this sentence from eng to afr: There are 31.1 grams in a Troy oz.,1.1775651484305488e-05,"Daar is 31,1 goud gram in 'n troy ounce.",1.6169817859745792e-05
137,Translate this sentence from eng to afr: describing this experience.,2.820758297095463e-05,Beskryf die ervaring.,9.242507623135519e-07
138,Translate this sentence from eng to afr: I like Santa Fe.,3.939546864884644e-06,Ek het die Santa Fe geniet.,2.0100024790803264e-05
139,"Translate this sentence from eng to afr: Yes, I plan to release it.",9.063354420369739e-06,"Ja, ik ben van plan om die kom weg te doen.",2.3778301241213762e-05
140,"Translate this sentence from eng to afr: They shall be as nothing, As a non-existent thing.",2.4115072665338218e-06,"sal word soos niks, soos iets wat nie bestaan nie.",1.8522196733245817e-05
141,Translate this sentence from eng to afr: Start freaking out...now.,7.704960389846869e-06,Begin outrage...now.,1.8152131126863245e-05
142,Translate this sentence from eng to afr: Most people in the UK are committed meat-eaters - but for how long?,4.359593990983467e-06,Die meeste mense in die Verenigde Koninkryk is toegewyde vleiseters - maar vir hoe lank?,1.3955258730083886e-05
143,Translate this sentence from eng to afr: Pakistan's name,4.280981575718969e-06,is ka naam pakistan,1.9677251580965636e-05
144,Translate this sentence from eng to afr: Planting trees is another project that is best done in the spring.,2.007256588638295e-06,'N Peer is 'n boom wat die beste in die lente geplant word.,3.0926178508250365e-05
145,"Translate this sentence from eng to afr: For seedlings, this field plant will take no more than 2 weeks.",2.0599091487466893e-06,Vir saailinge sal hierdie veldplant nie meer as 2 weke neem nie.,3.989695150465313e-06
146,Translate this sentence from eng to afr: It's something that you DO NOT want to see.,1.9836778551391e-06,Dis iets wat jy nie wil sien nie.,1.6825949796441394e-06
147,"Translate this sentence from eng to afr: Under no circumstance should you maintain a safe distance between you and the car in front of you, because the space will be filled in by somebody else, putting you in an even more dangerous situation.",1.6732111143847349e-06,"Jy moet onder geen omstandighede 'n veilige afstand tussen jou en die kar voor jou laat nie, want al wat dan gaan gebeur is dat iemand anders in die spasie gaan indruk en jou in nog 'n gevaarliker posisie plaas.",1.0095341980334237e-05
148,Translate this sentence from eng to afr: You're a strong and amazing person and you deserve the best.,1.0459336708907853e-06,U is 'n sterk en onafhanklike persoon wat die beste verdien.,2.6399188865910083e-05
149,"Translate this sentence from eng to afr: The virologists at the Centre for Cellular and Molecular Biology (CCMB), Bangalore, have identified a new variant of SARS-CoV-2 - 'N440K'.",1.194101299077422e-05,"Die viroloë van die Centre for Cellular and Molecular Biology (CCMB), Bangalore, het 'n nuwe variant van SARS-CoV-2 - 'N440K' geïdentifiseer.",1.4441905340571037e-05
150,Translate this sentence from eng to afr: dressed as a man).,9.542186952400044e-06,s'habille en homme.) 1,1.8152131126863245e-05
151,Translate this sentence from eng to afr: The decor was even more beautiful than the pictures on the website.,3.712842977769914e-06,Die dekor was selfs mooier as die foto's op die webwerf.,1.0479071048064046e-05
