,source,source_delfy,target,target_delfy
10,Translate this sentence from eng to fil: The good news was followed by a very sad news.,1.7110902152061244e-07,Ang magandang balitang ito ay sinundan naman ng isang nakakalungkot na balita.,1.0506504697323307e-05
11,"Translate this sentence from eng to fil: Sell your stuff, make a buck.",4.629541410063575e-06,"Pagbili ng bagay, Papel ang paglagyan.",5.6803483715948135e-06
12,Translate this sentence from eng to fil: Coronacion explained that Duterte could still snatch voter support from other candidates such as Vice President Jejomar Binay and Sen. Miriam Defensor-Santiago.,1.1218029700074746e-05,Coronacion ipinaliwanag na Duterte maaari pa ring mang-agaw ng suporta botante mula sa iba pang mga kandidato tulad ng Vice President Jejomar Binay at Sen. Miriam Defensor-Santiago.,1.3491878657377505e-05
13,Translate this sentence from eng to fil: Call yourself an artist at all times.,5.60035864033045e-07,Ang tawag daw sa aktres ay artista sa lahat ng panahon.,2.418085192235698e-05
14,Translate this sentence from eng to fil: It's all England's fault,1.1917276205069817e-05,kasalanan mo ang lahat English,7.522853665241275e-06
15,"Translate this sentence from eng to fil: In this case, take a deep breath and count to 10 before responding to your dog.",2.695338470616138e-06,"Huminga ng malalim at bumilang ng hanggang sampu, bago kausapin ang iyong anak.",5.797942955946591e-06
16,Translate this sentence from eng to fil: You may be prevented from obtaining Australian consular assistance if the country you're in considers you to be one of its citizens.,1.0091835431385277e-05,Ikaw ay maaaring pigilan na makakuha ng tulong mula sa konsulado ng Australia kung ang bansa na kinaroroonan mo ay ituturing kang isa sa kanilang mga mamamayan.,8.815788475251747e-06
17,"Translate this sentence from eng to fil: Gen. 6:22 Thus Noah did; according to all that God had commanded him, so he did.",4.452744995804735e-06,"6:22 Gayon ginawa ni Noe; ayon sa lahat na iniutos sa kaniya ng Dios, ay gayon ang ginawa niya.",4.758851703474882e-06
18,Translate this sentence from eng to fil: Time management is a major concern for most of us.,6.804432391883696e-06,Ang oras ng oras ay ang pinakamalaking pag-aalala para sa karamihan sa atin.,2.4952996426217942e-05
19,Translate this sentence from eng to fil: and chemical peel are effective in removing the lesion.,1.4896172223884503e-05,at ang chemical peel ay epektibo sa pag-alis ng sugat.,1.7173396778240363e-05
20,"Translate this sentence from eng to fil: Believe it or not, they took me down to the hospital.",4.473037451391971e-07,"Sa maniwala kayo at hindi, ako na din ang naghatid sa kanya sa airport.",2.5133794337001874e-05
21,"Translate this sentence from eng to fil: 6:5 I will lay the dead bodies of the Israelites in front of their idols, and I will scatter your bones around your altars.",5.4022835630181965e-06,"5 Ang mga patay na Israelita'y ibubunton ko sa harapan ng inyong mga diyus-diyosan, at ikakalat ko sa inyong altar ang mga buto ninyo.",8.878851814256077e-06
22,"Translate this sentence from eng to fil: So, why are we saying it doesn't matter.",6.715876767931677e-07,Kaya bakit naman nila sasabihin na hindi mahalaga iyan?,1.4992993678029498e-08
23,"Translate this sentence from eng to fil: According to statistics, the number...",4.659802987231783e-05,"Ayon sa statistics, ang bilang ...",6.829910530947066e-06
24,"Translate this sentence from eng to fil: He gave up his bed for Jamie last night.""",4.162386137329765e-06,"Siyanga pala, nagbigay na si Mang Eddie kagabi.""",5.849067265029271e-06
25,Translate this sentence from eng to fil: But it's all for nothing if you don't beat Maryland.,2.5576870240652914e-06,Okay lang yun kung di kayo nakapunta sa Maryland..,7.427751240217801e-06
26,"Translate this sentence from eng to fil: Waleed had two other brothers, one full blood and the other half, both of whom had made their journey to Medina to pay for his release.",3.2546773375569786e-06,"Waleed ay may dalawang iba pang mga kapatid na lalaki, isang buong dugo at ang iba pang kalahati, ang parehong kanino ay ginawa ng kanilang paglalakbay sa Medina na magbayad para sa kanyang paglabas.",6.346536517200869e-06
27,Translate this sentence from eng to fil: Sleep with your head towards east.,1.354722453149459e-06,Matulog na ang headboard ay nasa east.,7.149702710926764e-06
28,"Translate this sentence from eng to fil: We want what you want, our God.",3.9304224716010875e-10,"gusto ko kung ano ang gusto mo, Oh Panginoon.",1.858142401763446e-05
29,"Translate this sentence from eng to fil: ""If you are neutral in situations of injustice, you have chosen the side of the oppressor.",1.078996802780262e-05,"""Kung ikaw ay walang kinikilingan sa mga sitwasyon ng kawalang-katarungan, pinili mo ang panig ng nang-aapi.",5.669848864766444e-06
30,"Translate this sentence from eng to fil: ""Wait a minute, this looks familiar!""",1.5680896368078855e-05,"Teka, parang pamilyar ah!",2.827039526664291e-08
31,"Translate this sentence from eng to fil: nia, are in danger.",9.718120172188753e-06,"Janine, nanganganib",3.4081214569964235e-05
32,Translate this sentence from eng to fil: Наше исследование tested whether epigenetic marks on a person's DNA could be a mechanism behind these birth season effects.,5.383626060508677e-06,Ang aming pag-aaral nasubukan kung epigenetic marka sa isang tao DNA ay maaaring isang mekanismo sa likod ng ang mga epekto ng kapanganakan season.,6.845143400252348e-06
33,Translate this sentence from eng to fil: Piracy is the real problem.,3.8016145871014748e-06,Piracy talaga ang problema.,8.520303642491059e-06
34,Translate this sentence from eng to fil: I was honored to stand with them both.,8.95835919250183e-06,Honored po akong makasama silang dalawa.,5.6966216069503765e-06
35,"Translate this sentence from eng to fil: These lessons can be seen in Matthew 25:14-30, in Luke 19:11- 24 and in many other places in the Bible.",5.065216249262055e-06,"Ang mga aralin ay makikita sa Mateo 25:14-30, sa Lucas 19:11 - 24 at sa maraming iba pang mga lugar sa Biblia.",1.1473065264658342e-05
36,Translate this sentence from eng to fil: You've got plans for your retirement.,5.119522852694241e-06,IKAW ang magplano para sa retirement mo.,1.1299000487615678e-05
37,Translate this sentence from eng to fil: Current overload protection system and so on.,5.221817370685584e-06,kasalukuyang sobrang proteksyon na sistema at iba pa!,1.6248544242690197e-06
38,"Translate this sentence from eng to fil: Canada imparts oceanic fringes to Greenland (a self-ruling domain of Denmark) and Saint Pierre and Miquelon, a little island region that has a place with France.",9.591394131817986e-06,"Ang Canada ay nagbigay ng mga oceanic fringes sa Greenland (isang namamahalang domain ng Denmark) at Saint Pierre at Miquelon, isang maliit na rehiyon ng isla na mayroong lugar kasama ang France.",8.800599667433643e-06
39,"Translate this sentence from eng to fil: Following are the unofficial, partial results.",8.31784194832578e-06,"Iyan ang lumabas sa partial, unofficial results ng halalan.",1.5223752283213118e-05
40,Translate this sentence from eng to fil: You can create a custom one by extending the main component.,8.593028013838439e-06,Maaari kang lumikha ng isang bahagi sa pamamagitan ng pagpapalawak umiiral component.,4.9297420119395955e-06
41,"Translate this sentence from eng to fil: They were released on SoundCloud on May 7, 2015, December 3, 2015, and June 7, 2018, respectively.",2.742300610492686e-06,"Inilabas ang mga ito sa SoundCloud noong 7 Mayo 2015, 3 Disyembre 2015, at 7 Hunyo 2018, ayon sa pagkakabanggit.",2.3411082722576148e-06
42,"Translate this sentence from eng to fil: We will talk about a book named ""The Eyes Of Darkness"" which is published in 1981.",6.1829145984703e-06,"Ang pamagat nga libro ay, ""The Eyes Of Darkness"" na ipinalabas noong 1981.",8.248227966672133e-06
43,Translate this sentence from eng to fil: You get PAID to do something good.,4.226160368604937e-06,Binabayaran ka para gumawa ng mabuti.,1.537463610128655e-06
44,"Translate this sentence from eng to fil: James 1:13 gives a guiding principle: no one has the right to say that he has been tempted ""of God.""",2.9711517608849554e-06,Ibinigay sa Santiago 1:13 ang isang prinsipyo na maaaring gawing gabay sa bagay na ito: walang sinuman ang may karapatan na sabihin na siya ay tinutukso ng Diyos.,9.332946739430328e-06
45,"Translate this sentence from eng to fil: Awake, awake, sing a song !",6.470344508082598e-06,"Gumising ka, gumising ka, bumigkas ka ng awit!",5.496382443648283e-06
46,Translate this sentence from eng to fil: 8760 hours of good health.,6.569452024125428e-06,"8760 oras mabuting kalusugan,",8.5203037213687e-06
47,Translate this sentence from eng to fil: It has been a while since I've been to the beach!,2.364466500313514e-06,It's been a long time eversince makapunta ko sa beach!,4.04846719297534e-06
48,Translate this sentence from eng to fil: Who might ask for anything more?,6.426281151716452e-07,Sino ang maaaring humingi ng higit pa?,1.7454295557766218e-05
49,Translate this sentence from eng to fil: I am a senior and no one is visiting me.,9.261794599124862e-06,Isa akong senior citizen at walang dumadalaw sa akin.,9.781593042493341e-06
50,Translate this sentence from eng to fil: me happy to see these beautiful women.,2.4965702432758065e-07,Masaya akong makita ang mga mabubuting kababaihan dito.,5.482718059605002e-07
51,"Translate this sentence from eng to fil: Well, if I was God, I would have destroyed Satan as soon as he sinned.",1.1579650904697373e-06,"Kung hindi dahil sa pagliliwanag ng Diyos, marahil ay nanatili akong nabubuhay sa ilalim ng kapangyarihan ni Satanas, hanggang sa tuluyan akong ubusin nang buo ni Satanas.",5.302268176295496e-06
52,Translate this sentence from eng to fil: This is the type of marketing that brick-and-mortar businesses now typically use to reach potential customers on the internet.,3.868301973030924e-06,Ito ang uri ng marketing na ginagamit ng mga negosyong ladrilyo-at-mortar upang maabot ang mga potensyal na customer sa web.,1.089113233860521e-05
53,Translate this sentence from eng to fil: Herb- and caffeine-combination diet pills may also be dangerous to your health.,7.94075388725172e-06,Herb- at caffeine-kombinasyon ng diet pills ay maaari ring mapanganib sa iyong kalusugan.,8.00763751184058e-06
54,"Translate this sentence from eng to fil: In 1909 he published his ""Theory of Electrons,"" based on a series of lectures at Columbia University, and in 1916 he published in French at Leipzig an account of statistical thermodynamic theories, based on lectures delivered at the Collège de France in 1912.",6.651134749438637e-06,"Sa 1909 siya nai-publish na ang kanyang ""teorya ng mga electron,"" batay sa isang serye ng mga lektura sa Columbia University, at sa 1916 siya nai-publish sa Pranses at Leipzig ng isang account ng statistical thermodynamic theories, batay sa lektura inihatid sa kolehiyo de France sa 1912.",1.5060029094107946e-05
55,"Translate this sentence from eng to fil: ""We'll see where that is over the next couple of days.""",1.366419862919584e-06,"""'Titingnan namin 'to, itong next several days.",6.188800389190286e-06
56,"Translate this sentence from eng to fil: Can help business operations: If you include a drop-down menu on your contact form, the query can easily be sent to the department best equipped to deal with it.",5.133538261025263e-06,"Maaaring makatulong sa pagpapatakbo ng negosyo: Kung nagsasama ka ng isang drop-down menu sa iyong form ng contact, ang query ay madaling maipadala sa departamento na pinakamahusay na nilagyan upang harapin ito.",7.002179692743718e-06
57,"Translate this sentence from eng to fil: And they are singing a new song of praise before the throne, and before the four living creatures and the elders.",6.552181988390531e-06,At sila ay umawit ng isang bagong awit sa harap ng trono at sa harap ng apat na nilalang na buhay at ang mga matanda.,2.9721054183090698e-05
58,"Translate this sentence from eng to fil: DAGUPAN CITY - The Department of Public Works and Highways assured that the drainage system and slope protection projects of the government, once completed, would help ease the perennial flood problem in Dagupan City.",8.161554253653656e-06,DAGUPAN CITY - Siniguro ng Department of Public Works and Highways na kapag natapos na ang mga proyektong drainage system at slope protection ng gobyerno ay makakatulong upang matugunan ang hindi natatapos na problema ng lungsod sa pagbaha.,1.0871933866415045e-05
59,Translate this sentence from eng to fil: I am looking forward to the projects we can create together.,8.583483438878531e-06,Gusto ko yung mga project na makukuha tayo kaya natin tatangkilikin.,4.515548815579527e-06
60,"Translate this sentence from eng to fil: - I do believe in you, Ed.",1.903312119575084e-06,"May tiwala naman ako sa 'yo, e.",1.1329541176266529e-05
61,"Translate this sentence from eng to fil: NOTA IMPORTANTE: While this app is free to download and play, there are some items in the game that cost real money. también, Mad Skills Motocross 2 links to social networks that are intended for an audience over the age of 13.",5.504931172953632e-06,"mahalagang tandaan: habang ang app na ito ay libre upang i-download at i-play, mayroong ilang mga item sa laro na gastos ng real pera. din, Mad Skills Motocross 2 mga link sa mga social network na nakalaan para sa isang madla sa ibabaw ng edad ng 13. larong ito ay nagsasama ng advertising ng mga produkto Turborilla at mga produkto mula sa mga piling kasosyo.",5.110018401527155e-06
62,Translate this sentence from eng to fil: (18) We will call the angels of Hell.,7.433650054043645e-07,"""At hayaan siyang tumawag (ng tulong) sa lipon (ng kanyang mga kapanalig, tiyak na tatawagin Namin ang mga anghel na tagapagbantay ng Impiyerno!""",5.496478481179878e-06
63,Translate this sentence from eng to fil: Guess there isn't any baseball fans here.,2.936228862071703e-06,Akala ko walang fans ng Bucks dito.,6.421066507835444e-06
64,Translate this sentence from eng to fil: The Joker is SCARY.,1.4687885142289461e-05,kakatakot naman si joker he he,8.992189168074573e-06
65,"Translate this sentence from eng to fil: ""It's not a sin to borrow money.",1.5272142287998423e-05,"""Hindi naman masama mangutang.",8.520303642570395e-06
66,"Translate this sentence from eng to fil: Let Me See What I Can Do About That."" - Life",1.886924485482552e-09,"tingnan natin Kong my magagawa pa mga yan..ï""¿",4.591607319769524e-06
67,Translate this sentence from eng to fil: The gas station is easily checked by a pressure gauge.,8.860477732339546e-06,Ang gas station ay madaling nasuri ng isang gauge ng presyon.,1.4415748319753013e-05
68,Translate this sentence from eng to fil: Water always carry a bottle of water during summer.,2.1985483405953767e-07,"Sa tag-araw, palaging magdala ng isang bote ng tubig sa araw.",1.2562682202818023e-05
69,Translate this sentence from eng to fil: To know or to believe a thing is the first step to the attainment of it.,3.4683956677353243e-06,Ang malaman o upang maniwala sa isang bagay ay ang unang hakbang sa pagkamit nito.,9.322494928829943e-06
70,"Translate this sentence from eng to fil: Compared to the big Apple cores, the small cores only offer a third to a fourth of the performance, but they also use less than half the energy.",3.946521709584421e-06,"Kung ikukumpara sa malaking Apple cores, ang mga maliliit na cores ay nag-aalok lamang ng isang ikatlo sa ikaapat na bahagi ng pagganap, ngunit ginagamit din nila ang mas mababa sa kalahati ng enerhiya.",7.547274522332706e-06
71,"Translate this sentence from eng to fil: There are from metal ceramics and disadvantages, they need to be considered when choosing a material for the crown.",6.155695529495413e-06,"May mga metal na keramika at disadvantages, kailangan nilang isaalang-alang kapag pumipili ng isang materyal para sa korona.",7.316923812434246e-06
72,Translate this sentence from eng to fil: She's the only friend in school who didn't annoy me.,3.85566063753112e-06,Ikaw ang tanging lalaki sa school natin na hindi nagkakagusto sakin.,1.2393149543377384e-05
73,Translate this sentence from eng to fil: I'm thankful he can't see me.,2.3405227520124194e-06,Nagpapasalamat ako at hindi niya ako nakita.,9.737964186290484e-06
74,Translate this sentence from eng to fil: which he won the Director's,2.2290816812222763e-05,Sino nanalo boss,8.448421581910694e-08
75,Translate this sentence from eng to fil: It includes a malware scanner allowing you to analyze the integrity of the WordPress files and folders.,1.4889986953349226e-05,Ito ay may isang scanner ng malware na nagbibigay-daan sa iyo upang suriin ang integridad ng mga file at folder ng WordPress.,1.100004048642722e-05
76,"Translate this sentence from eng to fil: While she was cool and composed during her historic win, the same cannot be said when she finally met McIlroy, a our-time men's major champion.",4.075428281627542e-06,"Habang siya ay cool at binubuo habang siya makasaysayang panalo, hindi masasabi ang pareho nang sa wakas ay nakilala niya si McIlroy, isang us aka pangunahing kampeon sa panlalaki.",7.86096474499923e-06
77,"Translate this sentence from eng to fil: To begin with, I want to say that you must have video drivers installed (as well as a control center for them.",7.985073653868692e-06,"👉 Upang magsimula, gusto kong sabihin na dapat kang magkaroon ng mga driver ng video at na-update (pati na rin ang center-control sa kanila.",3.5559403620863955e-06
78,"Translate this sentence from eng to fil: Right now, I am enjoying the fruits of my labor.",6.214710275875921e-06,"Kaya, sa ngayon nga, gusto ko munang i-enjoy ang fruits of my labor.",1.5196169594514066e-05
79,"Translate this sentence from eng to fil: SDM is a professional company focusing on the R&D, manufacturing, sales of high-tech 3D printers and 3D scanners and providing the overall 3D printing solution.",7.5276762337085266e-06,"SHDM ay isang propesyonal na kumpanya na tumututok sa R   & D, manufacturing, mga benta ng mga high-tech na 3D printer at 3D scanner at pagbibigay ng pangkalahatang 3D pag-print solusyon.",7.644262112624379e-06
80,Translate this sentence from eng to fil: You will see us as a respectable and honest people,2.4913663430338533e-06,Makikilala mo ako na simpleng tao at tapat,1.0723024175201951e-05
81,"Translate this sentence from eng to fil: It is better, however, to provide the winter garden with its own solar heating, if perhaps the roof is replaced anyway.",3.876900965967397e-06,"Gayunpaman, mas mahusay na bigyan ang hardin ng taglamig ng sarili nitong pag-init ng araw, kung ang bubong ay marahil ay pinalitan pa rin.",6.000377659468798e-06
82,"Translate this sentence from eng to fil: Changes related to ""King of Baking, Kim Tak Goo""",1.4460170121890554e-05,"Pagkakaiba sa pagitan ng mga pagbago ng ""King of Baking, Kim Tak Goo""",1.1788868850451219e-05
83,"Translate this sentence from eng to fil: ""We have one goal, it is to save lives.""",1.0293327625984655e-05,"""WE have one goal, ang magpasaya ng tao.""",1.0238184969722338e-05
84,Translate this sentence from eng to fil: Global warming is averted!,1.715954679995702e-05,Di na yata mapigilan ang global warming!,1.003515219927364e-06
85,"Translate this sentence from eng to fil: When the nutrient is provided, then the deficiency goes away.",8.925683117519757e-06,"Kapag ang nutrient ay ipinagkaloob, ang kakulangan ay nawala.",4.275224742463727e-06
86,"Translate this sentence from eng to fil: If there is another material for the lining of the ears, for example, a bright sieve, then the toy will be even more interesting.",4.35741330383224e-06,"Kung may isa pang materyal para sa lining ng mga tainga, halimbawa, isang maliwanag na salaan, ang laruan ay magiging mas kawili-wili.",5.760656472827964e-06
87,"Translate this sentence from eng to fil: Jesus did not want anyone to know where they were, because he was teaching His disciples.",3.7997663757804013e-07,Ayaw ni Jesus na malaman ng sinuman na siya ay naroroon.31Ito ay sapagkat tinuturuan niya ang kaniyang mga alagad.,3.7170185022482693e-06
88,"Translate this sentence from eng to fil: ""In the last few months, there's been a lot of demand for customized WordPress development,"" said Yogesh Sonawane, CEO of Cloud Host World.",4.288252514463502e-06,"""Sa mga nakaraang buwan, maraming pangangailangan para sa na-customize na WordPress,"" sabi ni Yogesh Sonawane, CEO ng Cloud Host World.",5.46126317988244e-06
89,Translate this sentence from eng to fil: twentieth year of his reign in 444 B.C.,1.976714995470248e-05,sa ikadalawampu taon ng kanyang paghari sa 444 B.C.,1.1436950662467037e-05
90,Translate this sentence from eng to fil: The reading is dull...,2.064652324482437e-05,Ang babasa nito ay pangit...,1.3632485827985695e-05
91,Translate this sentence from eng to fil: I shouted in the oldest brother's face.,1.5142732519157268e-05,Napaiyak ako nung sa kwento ng mag kapatid.,4.65233631546632e-06
92,"Translate this sentence from eng to fil: I'm crying too hard!""",1.6308190519048913e-06,"Naiiyak po ako sa sobrang saya!""",5.732360325297805e-06
93,"Translate this sentence from eng to fil: Whether a reef bleaches during warming events depends on a variety of factors, both physical and biological.",4.290026464002368e-06,"Kung ang isang reef bleaches sa panahon ng warming mga kaganapan ay depende sa iba't ibang mga kadahilanan, pareho pisikal at biological.",5.193538674569907e-06
94,"Translate this sentence from eng to fil: Well, the day came, and I was so",3.2250954367855957e-06,"dumating ang araw na yun, ako na",7.659885781660201e-05
95,"Translate this sentence from eng to fil: If you are currently receiving BHT services through the Regional Center, the Regional Center will continue to provide these services for now.",4.33906429308655e-06,"Kung kasalukuyan kayong tumatanggap ng mga serbisyo ng BHT sa pamamagitan ng Regional Center, patuloy na ibibigay ng Regional Center ang mga serbisyong ito hanggang sa mabuo ang isang plano para sa paglipat.",9.038614234379405e-06
96,Translate this sentence from eng to fil: Now these were the last words of David.,5.832787010795318e-07,"Ngayon, ito ang mga huling salita ni David.",1.859889551563364e-05
97,"Translate this sentence from eng to fil: God allowed divorce and adultery, but He did not condone it.",8.289259739009143e-06,"Pinayagan ng Diyos ang diborsiyo para sa nakagawa ng pangangalunya, ngunit hindi nya ito iniutos.",7.695470226353728e-06
98,Translate this sentence from eng to fil: The theme for today is thankfulness.,1.3265828471273442e-05,Ang ating paksa sa araw na ito ay tungkol sa pasasalamat.,3.814258042924135e-05
99,"Translate this sentence from eng to fil: After-sales service: If you get the problem on the machine ,our technician will go to your place to fixed the machine as soon as possible.",5.806488692194583e-06,"Pagkatapos ng serbisyo: Kung nakakuha ka ng problema sa makina, ang aming technician ay pupunta sa iyong lugar upang maayos ang makina",7.214172646255649e-06
100,"Translate this sentence from eng to fil: Thanks to it, it can work together, complementing each other and the processor, and a video card, and the peripherals (mouse, keyboard, flash drives, etc.).",5.471478384354427e-06,"Salamat dito, maaari itong magtulungan, at ang bawat isa at ang processor, at isang video card, at ang mga peripheral (mouse, keyboard, flash drive, atbp.).",9.90749769831119e-06
101,Translate this sentence from eng to fil: Which of these stories are familiar to you?,1.2905590748149777e-05,"Batay sa mga salitang iyon, alin sa mga ito ang pamilyar sa iyo?",4.4273505490729164e-05
102,Translate this sentence from eng to fil: He has twice previously been the box office king.,2.8306506109132324e-06,Naging 'Box Office King' siya ng maraming beses.,1.1777295016263562e-06
103,Translate this sentence from eng to fil: I'd watch it day and night.,5.406772361143405e-07,aking binabantayan ito gabi't araw.,8.6611992447424e-06
104,Translate this sentence from eng to fil: How can you find out what consumers want?,7.73974713077575e-06,So paano ba malaman kung ano yung hinahanap ng mga consumers?,3.115302076112464e-06
105,"Translate this sentence from eng to fil: ""It's not too late for both of you.""",3.8740263437536095e-06,"Hindi pa po huli ang lahat for the both of you.""",5.341934691307695e-06
106,Translate this sentence from eng to fil: This is the state of driving in our country.,1.06368281207056e-05,'Yan ang kalagayan ng taxi drivers sa ating bansa.,6.519045876878023e-06
107,"Translate this sentence from eng to fil: ""description"": ""A value greater than 0 implies an explicit navigation ordering.",5.5030140710250565e-06,"""message"": ""Nagpapahiwatig ng tahasang pagsasaayos ng navigation ang value na mas mataas sa 0.",1.2190661296258894e-05
108,Translate this sentence from eng to fil: And check on your animals frequently to ensure that they are not suffering from the heat.,2.5745014515710857e-06,Madalas na kamustahin ang iyong mga hayop para matiyak na hindi sila nagdurusa sa init.,4.343597229248145e-06
109,Translate this sentence from eng to fil: Turn them into pet food.,2.6406046235502137e-06,Isama sila sa food prep,6.832063550418776e-06
110,Translate this sentence from eng to fil: The buy side of the decision is also known as outsourcing.,2.3074607474508773e-06,Ang buy bahagi ng desisyon ay kilala rin bilang outsourcing .,1.0224364422431683e-05
111,"Translate this sentence from eng to fil: If in doubt, go get a sleep study.",5.284426162469425e-07,"pre, kuha ka ng sleep study.",1.4941320109277144e-05
112,Translate this sentence from eng to fil: There are books and even a film or two about them.,5.244396357675827e-07,Gumawa sila ng isang laro at isang pelikula o dalawang iyon tungkol dito.,6.537721800904841e-07
113,Translate this sentence from eng to fil: medical tradition.,2.0039907748302326e-05,tradisyong medikal.,1.0062672448453902e-05
114,Translate this sentence from eng to fil: 'It's very important to know people.,2.3257651912964134e-05,"""Interesting kasi nakikilala mo ang mga tao.",7.821314615348568e-06
115,Translate this sentence from eng to fil: look for that type of language.,6.970586707540377e-06,manonood sa ganitong klase ng pagsasaling wika.,9.027576281161075e-06
116,Translate this sentence from eng to fil: There are good reasons why millions of companies use these colors.,7.036149764958876e-06,Mayroong mabuting dahilan kung bakit milyon-milyong mga kumpanya ang gumagamit ng mga kulay na ito.,2.2163421473584173e-06
117,Translate this sentence from eng to fil: My Girlfriend doesn't know i'm filming 07:58,6.835980847044829e-06,Aking kasintahan ay hindi alam akong film 07:58,5.969559599109241e-06
118,"Translate this sentence from eng to fil: Though the tomatoes take center stage, a week of festivities lead up to the final showdown.",6.511514788646426e-06,"Bagama't naging sentro ng pansin ang mga kamatis, ang isang linggong pyesta ay humantong sa huling paghaharap.",6.934769932627317e-06
119,Translate this sentence from eng to fil: them went to the Middle East.,7.634413154346982e-06,Sila 'yung pumunta doon sa Middle East.,2.853592467586115e-06
120,Translate this sentence from eng to fil: Palace lost 4-1 at home against Chelsea where they had one shot and 0.60 expected goals.,7.082789266526159e-06,Nawala ang Palace ng 4-1 sa bahay laban sa Chelsea kung saan mayroon silang isang shot at 0.60 inaasahang mga layunin.,8.434766277683385e-06
121,Translate this sentence from eng to fil: Tomorrow I need to do another TVS.,4.597081528982227e-06,"Tomorrow, ibang TV naman ako.",6.816246229201642e-06
122,"Translate this sentence from eng to fil: It is a UV plate cleaning solution that has been widely used in recent years, and it can also be used for a normal PS plate.",2.7055437194791454e-06,"Pagpi-print ng CTP plate cleaner Ito ay isang solusyon sa paglilinis ng CTP plate na malawakang ginagamit sa mga nakaraang taon, at maaari rin itong gamitin para sa isang normal na pl plate.",1.2954715832971014e-05
123,Translate this sentence from eng to fil: Multiplies up the elements of this collection.,2.2985193252719675e-05,Multiplies up ang mga elemento ng koleksyon na ito.,9.12988799759869e-06
124,"Translate this sentence from eng to fil: Buddhists believe in a man named Buddha, which means enlightened one.",5.462445044227464e-06,"Ang paniniwala ng Budismo ay base sa mga katuruan ng isang tao na tinatawag na Buddha, na nangangahulugan na ""isang naliwanagan.""",2.8019831190342883e-05
125,"Translate this sentence from eng to fil: Oh, Kendall, you've made me very happy.",2.9538787772109525e-06,"""Ah, Seana, labis mo akong pinaligaya.",1.1360509557413047e-05
126,Translate this sentence from eng to fil: Don't come on too strong; take it slow.,1.7993553785156766e-06,"15. wag masyadong magmadali, take it slow.",7.743794212023464e-06
127,"Translate this sentence from eng to fil: Foxy, no one is going to buy your shit.",4.09227219917091e-06,"Mga taga GSIS, walang bumibili niyang inyong palusot.",8.389720098467578e-06
128,"Translate this sentence from eng to fil: The best thing to do is not to chase after him, not to crowd him, and not to go to him for reassurance or validation.",6.461609807222809e-06,"Ang pinakamagandang bagay ay dapat gawin ay hindi habulin siya, hindi ang karamihan sa kanya, at hindi pumunta sa kanya para sa katiyakan o pagpapatunay.",9.893752032730453e-06
129,"Translate this sentence from eng to fil: You should see the operating PHP version, the configuration, and the existing modules also.",1.1692362786173533e-05,"Dapat mong makita ang bersyon ng PHP, kasalukuyang pagsasaayos at naka-install na mga module din dito.",7.347524925050055e-06
130,"Translate this sentence from eng to fil: ""I had a lot of questions at first, like why did God create the Tree of Knowledge?",3.5990118280078647e-07,"Parang ganyan din ung tanong ko nung bata pa ako na kung ""bakit pa ginawa ni God ang tree of knowledge.""",7.099181976244324e-06
131,"Translate this sentence from eng to fil: Because of this, it is best to use the toy with a condom, especially if you share the toy with a partner.",4.075778590509264e-06,"Mainam na gumamit ng condom sa laruan, lalo na kung balak mo itong i-share sa iyong partner.",1.0554361105871483e-05
